first_name	last_name	gender	age	language_pref
Margaret	Fisher	Female	24	Java
Julia	Bailey	Female	48	Haskell
Eric	Little	Male	56	C++
Alan	Russell	Male	65	JavaScript
Lawrence	Carter	Male	53	Java
Howard	Schmidt	Male	45	Haskell
Alice	Dunn	Female	58	JavaScript
Alice	Mason	Female	59	C++
Raymond	Brown	Male	63	C++
Paula	Spencer	Female	33	JavaScript
Denise	Graham	Female	47	Java
Linda	Welch	Female	47	Python
Evelyn	Simpson	Female	44	Python
Tina	Taylor	Female	50	Haskell
Joe	Berry	Male	46	JavaScript
Kathleen	Woods	Female	48	Python
Henry	Coleman	Male	28	Java
Martha	Medina	Female	28	Python
Jesse	Bowman	Male	34	C++
Matthew	Gray	Male	50	Python
Brenda	Watkins	Female	36	C++
Barbara	Bowman	Female	52	Python
Phyllis	White	Female	44	C++
Jesse	Wilson	Male	32	Haskell
Timothy	Garza	Male	30	C++
Karen	Watson	Female	37	Haskell
Phillip	Hunter	Male	29	C++
Joyce	Green	Female	46	C++
Bobby	Evans	Male	29	C++
Mary	Olson	Female	60	JavaScript
Sandra	Marshall	Female	23	Java
Richard	Berry	Male	25	Haskell
Andrew	Elliott	Male	71	C++
Gloria	Watkins	Female	67	JavaScript
Margaret	Reid	Female	24	Haskell
Wanda	Roberts	Female	59	Java
Jacqueline	Rice	Female	64	Haskell
Jacqueline	Daniels	Female	31	JavaScript
Alice	Hicks	Female	39	Java
Mildred	Arnold	Female	56	JavaScript
Annie	Kelley	Female	35	Haskell
Julia	Gonzales	Female	27	JavaScript
Lillian	Lewis	Female	29	Python
Virginia	Jordan	Female	58	Python
Katherine	Peterson	Female	47	C++
Donna	Long	Female	43	JavaScript
Keith	Hanson	Male	40	JavaScript
Nancy	Baker	Female	62	Haskell
Eugene	Murphy	Male	53	JavaScript
Amanda	Ross	Female	17	C++
Beverly	Perry	Female	46	JavaScript
Margaret	Dunn	Female	70	C++
Joan	Robinson	Female	41	Java
Deborah	Lawrence	Female	32	C++
Cynthia	Fox	Female	45	Java
Bonnie	Griffin	Female	65	C++
Irene	Baker	Female	79	JavaScript
Janice	Wagner	Female	61	JavaScript
Juan	Lopez	Male	48	Haskell
Linda	Green	Female	41	Java
Todd	Fox	Male	37	Python
Rachel	Bryant	Female	41	JavaScript
Louis	Watson	Male	78	JavaScript
Judith	Mills	Female	60	Python
Jeffrey	Carr	Male	40	Haskell
Lillian	Sanders	Female	28	Python
Kathleen	Harris	Female	62	Java
Anne	Gray	Female	54	Java
Nicole	Lopez	Female	64	Haskell
Angela	Collins	Female	37	C++
Debra	Smith	Female	39	C++
Charles	Tucker	Male	31	Java
Julia	Nguyen	Female	43	Java
Judith	Foster	Female	41	Haskell
Roger	Alvarez	Male	39	Python
Alice	Fowler	Female	44	JavaScript
